film, year
The Thing, 1982
No Country For Old Men, 2007
Nomadland, 2020
Terminator 2: Judgement Day, 1991
Mr. Smith Goes to Washington, 1939
Minari, 2020
Interstellar, 2014
Mrs. Miniver, 1942
Sherlock Jr., 1924
2001: A Space Odyssey, 1968
The Philadelphia Story, 1940
Gravity, 2013
The Matrix, 1999
Tora! Tora! Tora!, 1970
King Kong 1933,
City Lights 1931,
The Grapes of Wrath, 1940
Angels With Dirty Faces, 1938
Modern Times, 1936
Sunrise: A Song of Two Humans, 1927
Eyes Wide Shut, 1999
The Maltese Falcon, 1941
The Gold Rush, 1925
The Human Centipede (First Sequence), 2009
Citizen Kane, 1941
It Happened One Night, 1934
The Great Dictator, 1940
Lost in Translation, 2003
The Sisters Brothers, 2018
Train to Busan, 2016
All Quiet on the Western Front, 1930
Snow White, 1937
Matilda, 1996
Mr. Deeds Goes to Town, 1936
Steamboat Willie, 1928
